30949,1
31436,3
31678,1
31679,7
31680,2
31919,1
31921,4
31922,8
31923,4
32162,1
32163,1
32164,2
32165,6
32166,5
32167,10
32168,3
32407,6
32408,13
32409,7
32411,1
32413,2
32647,1
32648,2
32650,4
32651,7
32652,4
32653,1
32656,1
32890,3
32893,1
32899,2
32901,1
32903,2
33133,2
33135,2
33137,3
33140,1
33143,1
33144,2
33145,1
33147,1
33376,1
33378,4
33379,6
33381,1
33383,1
33384,1
33385,5
33386,1
33387,1
33388,1
33389,3
33390,1
33391,1
33618,1
33620,2
33628,7
33629,3
33631,2
33632,1
33633,1
33636,1
33637,1
33861,1
33864,1
33865,1
33869,1
33870,2
33871,3
33872,3
33873,2
33874,1
33875,1
33879,1
33882,1
34107,4
34108,4
34109,1
34117,1
34118,1
34119,2
34120,1
34121,1
34122,1
34125,2
34352,5
34353,1
34355,1
34359,1
34363,1
34366,1
34367,3
34368,3
34369,3
34371,1
34600,2
34601,1
34606,1
34607,2
34608,2
34610,2
34611,1
34614,2
34839,1
34842,1
34850,4
34852,1
34853,1
34856,1
35084,3
35085,2
35086,1
35088,1
35090,2
35093,1
35095,1
35099,1
35328,2
35330,1
35335,1
35339,1
35574,3
35582,1
35583,1
35584,1
35823,1
35825,1
35828,1
36062,1
36065,1
36069,1
36070,1
36307,1
36308,1
36309,1
36554,1
36556,1
37040,1
